ID,RPT,SCF,PCT,SDN,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15
P01,1,SCF,PCT100,25,0,0,0,0,0,12,5,4,0,0,0,0,0,0,0,0
P02,1,SCF,PCT025,25,0,0,0,0,0,0,0,3,2,5,7,2,1,0,0,0
P03,1,WOT,PCT025,25,0,0,0,0,0,0,3,11,4,0,0,0,0,0,0,0
P04,1,CPT,PCT025,25,0,0,0,0,0,0,0,1,1,11,2,3,1,0,0,0
P05,1,WOT,PCT100,25,0,0,0,0,0,5,7,4,2,0,0,0,0,0,0,0
P06,1,SCF,PCT050,25,0,0,0,0,0,0,4,2,3,5,0,0,0,0,0,0
P07,2,SCF,PCT025,25,0,0,0,0,0,0,0,3,4,5,6,1,0,0,0,0
P08,1,WOT,PCT050,25,0,0,0,0,0,1,2,7,6,0,0,0,0,0,0,0
P09,2,WOT,PCT050,25,0,0,0,0,0,0,8,11,2,1,0,0,0,0,0,0
P10,2,WOT,PCT100,25,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0
P11,2,SCF,PCT100,25,0,0,0,0,0,8,8,2,0,0,1,0,0,0,0,0
P12,3,WOT,PCT050,25,0,0,0,0,0,1,10,4,1,0,0,0,0,0,0,0
P13,1,CPT,PCT050,25,0,0,0,0,0,0,4,9,5,2,3,0,0,0,0,0
P14,3,WOT,PCT100,25,0,0,0,0,0,13,4,2,1,1,0,0,0,0,0,0
P15,1,CPT,PCT100,25,0,0,0,0,0,4,11,2,1,1,0,0,0,0,0,0
P16,3,SCF,PCT100,25,0,0,0,0,0,9,7,3,1,0,0,0,3,0,0,0
P17,2,WOT,PCT025,25,0,0,0,0,0,0,2,6,6,4,3,0,0,3,0,0
P18,2,SCF,PCT050,25,0,0,0,0,0,0,3,7,4,2,1,0,0,0,0,0
P19,3,SCF,PCT050,25,0,0,0,0,0,0,4,5,8,2,0,0,0,0,0,0
P20,3,WOT,PCT025,25,0,0,0,0,0,0,1,6,6,0,1,0,0,0,0,0
P21,2,CPT,PCT100,25,0,0,0,0,0,2,14,5,1,1,0,0,0,0,0,0
P22,3,SCF,PCT025,25,0,0,0,0,0,1,1,2,3,7,2,0,0,0,0,0
P23,2,CPT,PCT050,25,0,0,0,0,0,0,0,13,5,2,0,0,0,1,0,0
P24,3,CPT,PCT050,25,0,0,0,0,0,1,1,7,7,3,1,0,0,0,0,0
P25,4,SCF,PCT025,25,0,0,0,0,0,0,1,2,4,6,4,1,0,0,0,0
P26,3,CPT,PCT100,25,0,0,0,0,0,4,7,5,2,0,0,0,0,2,0,0
P27,4,WOT,PCT025,25,0,0,0,0,0,0,6,9,5,2,0,0,0,0,0,0
P28,4,SCF,PCT050,25,0,0,0,0,0,0,3,8,8,1,0,0,0,0,0,0
P29,2,CPT,PCT025,25,0,0,0,0,0,0,0,0,3,7,7,2,0,0,0,0
P30,4,WOT,PCT100,25,0,0,0,0,0,9,3,5,1,1,1,0,0,0,0,0
P31,4,CPT,PCT050,25,0,0,0,0,0,0,2,7,8,4,2,0,0,0,0,0
P32,3,CPT,PCT025,25,0,0,0,0,0,0,3,0,4,4,7,3,0,0,0,0
P33,4,CPT,PCT025,25,0,0,0,0,0,0,0,2,3,3,3,3,1,0,0,0
P34,4,CPT,PCT100,25,0,0,0,0,0,7,9,5,0,0,0,0,0,0,0,0
P35,4,WOT,PCT050,25,0,0,0,0,0,1,2,9,2,2,0,0,0,0,0,0
P36,4,SCF,PCT100,25,0,0,0,0,0,6,9,5,2,0,0,0,0,0,0,0